cenario,replication,test,servidor,resultado
cenario3,replication7,Wait Time Per Entity,Servidor 2,0.4974
cenario3,replication7,Wait Time Per Entity,Servidor 3,0.6714
cenario3,replication7,Wait Time Per Entity,Servidor 4,1.6539
cenario3,replication7,Waiting Time,Servidor 1.Queue,0.7391
cenario3,replication7,Waiting Time,Servidor 2.Queue,0.1394
cenario3,replication7,Waiting Time,Servidor 3.Queue,0
cenario3,replication7,Waiting Time,Servidor 4.Queue,0.8377
cenario3,replication7,Number Waiting,Servidor 1.Queue,0.9202
cenario3,replication7,Number Waiting,Servidor 2.Queue,0.1264
cenario3,replication7,Number Waiting,Servidor 3.Queue,0
