cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id,tempo_bd,tempo_rede
1.226766254,1.226766107,4268359680,4268359680,1471542306377,1471542306379,1471542181867,1471542181913,cadastro,cadastro 130,2,44
1.226769378,1.226775222,4268359680,4268359680,1471542306425,1471542306427,1471542181916,1471542181961,cadastro,cadastro 131,2,43
1.226784411,1.226784337,4268359680,4268359680,1471542306477,1471542306479,1471542181967,1471542182013,cadastro,cadastro 132,2,44
1.226787535,1.226787388,4268359680,4268359680,1471542306525,1471542306527,1471542182016,1471542182061,cadastro,cadastro 133,2,43
1.226790659,1.226790513,4268359680,4268359680,1471542306577,1471542306579,1471542182067,1471542182113,cadastro,cadastro 134,2,44
1.226787646,1.226787646,4268359680,4268359680,1471542306629,1471542306631,1471542182117,1471542182165,cadastro,cadastro 135,2,46
1.226802752,1.226802679,4268359680,4268359680,1471542306677,1471542306679,1471542182167,1471542182213,cadastro,cadastro 136,2,44
1.226800253,1.226800033,4268359680,4268359680,1471542306725,1471542306727,1471542182216,1471542182261,cadastro,cadastro 137,2,43
1.226803231,1.22680301,4268359680,4268359680,1471542306777,1471542306779,1471542182268,1471542182313,cadastro,cadastro 138,2,43
1.226806429,1.226812272,4268359680,4268359680,1471542306825,1471542306827,1471542182316,1471542182361,cadastro,cadastro 139,2,43
1.226815397,1.226815323,4268359680,4268359680,1471542306877,1471542306879,1471542182366,1471542182413,cadastro,cadastro 140,2,45
1.226818374,1.226818374,4268359680,4268359680,1471542306929,1471542306931,1471542182417,1471542182465,cadastro,cadastro 141,2,46
1.226833626,1.226833479,4268306432,4268306432,1471542306977,1471542306979,1471542182467,1471542182513,cadastro,cadastro 142,2,44
1.226836457,1.226836457,4268306432,4268306432,1471542307029,1471542307031,1471542182517,1471542182565,cadastro,cadastro 143,2,46
1.226833958,1.226833737,4268306432,4268306432,1471542307077,1471542307079,1471542182567,1471542182613,cadastro,cadastro 144,2,44
1.226842999,1.226848769,4268306432,4268306432,1471542307126,1471542307127,1471542182616,1471542182662,cadastro,cadastro 145,1,45
1.22684605,1.226845829,4268306432,4268306432,1471542307177,1471542307179,1471542182666,1471542182713,cadastro,cadastro 146,2,45
1.226843037,1.226843037,4268306432,4268306432,1471542307229,1471542307231,1471542182717,1471542182766,cadastro,cadastro 147,2,47
1.226852372,1.226852225,4268306432,4268306432,1471542307277,1471542307279,1471542182767,1471542182813,cadastro,cadastro 148,2,44
1.226855643,1.226855423,4268306432,4268306432,1471542307325,1471542307329,1471542182816,1471542182864,cadastro,cadastro 149,4,44
1.226870454,1.226870381,4268306432,4268306432,1471542307377,1471542307379,1471542182867,1471542182913,cadastro,cadastro 150,2,44
1.226873137,1.226873064,4268306432,4268306432,1471542307433,1471542307435,1471542182917,1471542182969,cadastro,cadastro 151,2,50
1.226882472,1.226882472,4268306432,4268306432,1471542307481,1471542307483,1471542182966,1471542183017,cadastro,cadastro 152,2,49
1.22688567,1.226885596,4268306432,4268306432,1471542307529,1471542307531,1471542183018,1471542183066,cadastro,cadastro 153,2,46
1.226889088,1.226894784,4268306432,4268306432,1471542307578,1471542307580,1471542183067,1471542183114,cadastro,cadastro 154,2,45
1.226891992,1.226891992,4268306432,4268306432,1471542307629,1471542307631,1471542183117,1471542183165,cadastro,cadastro 155,2,46
1.226895336,1.22690118,4268306432,4268306432,1471542307678,1471542307679,1471542183167,1471542183214,cadastro,cadastro 156,1,46
1.22689846,1.22689824,4268306432,4268306432,1471542307729,1471542307731,1471542183217,1471542183265,cadastro,cadastro 157,2,46
1.226901658,1.226901584,4268306432,4268306432,1471542307777,1471542307779,1471542183266,1471542183313,cadastro,cadastro 158,2,45
1.226898718,1.226898644,4268306432,4268306432,1471542307829,1471542307831,1471542183317,1471542183365,cadastro,cadastro 159,2,46
1.226901915,1.226907759,4268306432,4268306432,1471542307877,1471542307879,1471542183368,1471542183415,cadastro,cadastro 160,2,45
1.226905113,1.226904966,4268306432,4268290048,1471542307926,1471542307928,1471542183417,1471542183462,cadastro,cadastro 161,2,43
1.22690831,1.226908237,4268290048,4268290048,1471542307977,1471542307979,1471542183466,1471542183513,cadastro,cadastro 162,2,45
1.22691114,1.22691114,4268290048,4268290048,1471542308029,1471542308031,1471542183517,1471542183565,cadastro,cadastro 163,2,46
1.226914558,1.226914411,4268290048,4268290048,1471542308077,1471542308079,1471542183567,1471542183613,cadastro,cadastro 164,2,44
1.226917609,1.226917535,4268290048,4268290048,1471542308129,1471542308131,1471542183617,1471542183665,cadastro,cadastro 165,2,46
1.226914595,1.226914595,4268290048,4268290048,1471542308181,1471542308183,1471542183671,1471542183717,cadastro,cadastro 166,2,44
1.226923269,1.226923195,4268290048,4268290048,1471542308239,1471542308241,1471542183718,1471542183775,cadastro,cadastro 167,2,55
1.226937711,1.226937638,4268851200,4268851200,1471542308296,1471542308298,1471542183771,1471542183832,cadastro,cadastro 168,2,59
1.226940394,1.226940321,4268851200,4268851200,1471542308356,1471542308359,1471542183828,1471542183893,cadastro,cadastro 169,3,62
1.226948773,1.2269487,4268851200,4268851200,1471542308419,1471542308421,1471542183939,1471542183992,cadastro,cadastro 170,2,51
1.22694892,1.226948847,4268851200,4268851200,1471542308417,1471542308419,1471542183889,1471542183993,cadastro,cadastro 171,2,102
1.226953661,1.226953661,4268851200,4268851200,1471542308438,1471542308439,1471542183966,1471542184015,cadastro,cadastro 172,1,48
1.226955388,1.226955388,4268851200,4268851200,1471542308512,1471542308514,1471542184034,1471542184049,cadastro,cadastro 173,2,13
1.22695311,1.226952963,4268851200,4268851200,1471542308553,1471542308555,1471542184075,1471542184128,cadastro,cadastro 174,2,51
1.226963032,1.226962812,4268851200,4268851200,1471542308589,1471542308593,1471542184117,1471542184168,cadastro,cadastro 175,4,47
1.226966083,1.226966083,4268851200,4268851200,1471542308641,1471542308642,1471542184169,1471542184218,cadastro,cadastro 176,1,48
1.226974976,1.226974976,4268851200,4268851200,1471542308691,1471542308693,1471542184219,1471542184270,cadastro,cadastro 177,2,49
1.226978247,1.226978247,4268851200,4268851200,1471542308743,1471542308745,1471542184271,1471542184322,cadastro,cadastro 178,2,49
1.22698714,1.226987066,4269907968,4269907968,1471542308795,1471542308796,1471542184323,1471542184375,cadastro,cadastro 179,1,51
1.22699019,1.22699019,4269907968,4269907968,1471542308845,1471542308847,1471542184373,1471542184427,cadastro,cadastro 180,2,52
1.226999304,1.227005147,4269907968,4269907968,1471542308898,1471542308899,1471542184426,1471542184480,cadastro,cadastro 181,1,53
1.22700805,1.227013967,4269854720,4269854720,1471542308951,1471542308952,1471542184478,1471542184533,cadastro,cadastro 182,1,54
1.227011174,1.227011174,4269703168,4269703168,1471542309003,1471542309005,1471542184531,1471542184588,cadastro,cadastro 183,2,55
1.227008087,1.227008087,4269703168,4269703168,1471542309058,1471542309059,1471542184578,1471542184643,cadastro,cadastro 184,1,64
1.227010916,1.227010916,4269703168,4269703168,1471542309112,1471542309114,1471542184632,1471542184697,cadastro,cadastro 185,2,63
1.227014113,1.22701404,4269703168,4269703168,1471542309166,1471542309168,1471542184687,1471542184751,cadastro,cadastro 186,2,62
1.227016134,1.227016134,4269703168,4269703168,1471542309233,1471542309235,1471542184717,1471542184808,cadastro,cadastro 187,2,89
1.227031605,1.227031458,4269703168,4269703168,1471542309279,1471542309281,1471542184767,1471542184860,cadastro,cadastro 188,2,91
1.227028739,1.227034508,4269703168,4269703168,1471542309329,1471542309331,1471542184817,1471542184915,cadastro,cadastro 189,2,96
1.227031568,1.227031495,4269703168,4269703168,1471542309384,1471542309386,1471542184868,1471542184970,cadastro,cadastro 190,2,100
1.227034545,1.227040167,4269703168,4269703168,1471542309439,1471542309441,1471542184917,1471542185022,cadastro,cadastro 191,2,103
1.227043291,1.227043291,4269703168,4269703168,1471542309492,1471542309494,1471542184971,1471542185078,cadastro,cadastro 192,2,105
1.227040645,1.227040645,4269703168,4269703168,1471542309544,1471542309546,1471542185024,1471542185133,cadastro,cadastro 193,2,107
1.227037337,1.227037264,4269703168,4269703168,1471542309600,1471542309602,1471542185077,1471542185190,cadastro,cadastro 194,2,111
1.227046451,1.227052293,4269703168,4269703168,1471542309649,1471542309651,1471542185131,1471542185246,cadastro,cadastro 195,2,113
1.227055343,1.227055343,4269703168,4269703168,1471542309705,1471542309707,1471542185180,1471542185303,cadastro,cadastro 196,2,121
1.227065338,1.227065338,4269703168,4269703168,1471542309738,1471542309740,1471542185266,1471542185312,cadastro,cadastro 197,2,44
1.227063501,1.227063501,4269703168,4269703168,1471542309770,1471542309771,1471542185236,1471542185349,cadastro,cadastro 198,1,112
1.227067065,1.227066845,4269703168,4269703168,1471542309817,1471542309819,1471542185337,1471542185402,cadastro,cadastro 199,2,63
1.227069601,1.22706938,4269703168,4269703168,1471542309877,1471542309879,1471542185367,1471542185413,cadastro,cadastro 200,2,44
1.227072577,1.227072503,4269703168,4269703168,1471542309929,1471542309931,1471542185417,1471542185465,cadastro,cadastro 201,2,46
1.227083895,1.227083674,4269703168,4269703168,1471542309939,1471542309944,1471542185468,1471542185516,cadastro,cadastro 202,5,43
1.227087092,1.227087018,4269830144,4269830144,1471542309989,1471542309990,1471542185517,1471542185525,cadastro,cadastro 203,1,7
1.227090142,1.227090068,4269830144,4269830144,1471542310039,1471542310041,1471542185567,1471542185575,cadastro,cadastro 204,2,6
1.227093118,1.227099034,4269830144,4269830144,1471542310094,1471542310095,1471542185621,1471542185630,cadastro,cadastro 205,1,8
1.227096167,1.227096094,4269830144,4269830144,1471542310146,1471542310147,1471542185673,1471542185682,cadastro,cadastro 206,1,8
1.227099217,1.227099144,4269830144,4269830144,1471542310199,1471542310201,1471542185727,1471542185735,cadastro,cadastro 207,2,6
1.227096277,1.227096204,4269830144,4269830144,1471542310251,1471542310253,1471542185780,1471542185788,cadastro,cadastro 208,2,6
1.227093264,1.22709319,4269830144,4269830144,1471542310304,1471542310305,1471542185832,1471542185840,cadastro,cadastro 209,1,7
1.227096534,1.227096313,4269830144,4269830144,1471542310356,1471542310358,1471542185884,1471542185892,cadastro,cadastro 210,2,6
1.22709951,1.227099143,4269830144,4269830144,1471542310409,1471542310411,1471542185936,1471542185945,cadastro,cadastro 211,2,7
1.227096497,1.227096423,4269830144,4269830144,1471542310463,1471542310465,1471542185983,1471542186000,cadastro,cadastro 212,2,15
1.227105169,1.227105169,4269830144,4269830144,1471542310519,1471542310521,1471542186040,1471542186055,cadastro,cadastro 213,2,13
